epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.2389,1.1192,0.47529,1,0.89728,0.000406977,0.000406977,0.000406977
2,92.7443,0.89283,0.4981,1,0.80424,0.000782873,0.000782873,0.000782873
3,146.925,0.84592,0.54373,1,0.77557,0.00111752,0.00111752,0.00111752
4,184.545,0.83332,0.51331,1,0.76177,0.00106437,0.00106437,0.00106437
5,220.18,0.78345,0.56654,1,0.74463,0.0010025,0.0010025,0.0010025
6,258.716,0.84386,0.47909,1,0.76153,0.000940625,0.000940625,0.000940625
7,295.109,0.81923,0.58935,1,0.73848,0.00087875,0.00087875,0.00087875
8,334.539,0.8079,0.48669,1,0.76133,0.000816875,0.000816875,0.000816875
9,371.799,0.80625,0.55133,1,0.7064,0.000755,0.000755,0.000755
10,412.868,0.76154,0.51331,1,0.77551,0.000693125,0.000693125,0.000693125
11,452.906,0.77311,0.52852,1,0.78259,0.00063125,0.00063125,0.00063125
12,491.137,0.74996,0.4943,1,0.75111,0.000569375,0.000569375,0.000569375
13,528.124,0.76342,0.50951,1,0.75528,0.0005075,0.0005075,0.0005075
14,563.403,0.7279,0.4981,1,0.758,0.000445625,0.000445625,0.000445625
15,599.152,0.72413,0.55133,1,0.73622,0.00038375,0.00038375,0.00038375
16,634.416,0.74875,0.51711,1,0.76067,0.000321875,0.000321875,0.000321875
17,671.193,0.76851,0.55133,1,0.73075,0.00026,0.00026,0.00026
18,710.4,0.7287,0.5019,1,0.76112,0.000198125,0.000198125,0.000198125
19,748.077,0.73548,0.53232,1,0.77281,0.00013625,0.00013625,0.00013625
20,785.663,0.72591,0.53612,1,0.73967,7.4375e-05,7.4375e-05,7.4375e-05
