epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.47205,1.09891,0.69697,1,0.76812,0.00010003,0.00010003,0.00010003
2,22.783,0.68521,1,1,0.36801,0.000210106,0.000210106,0.000210106
3,30.7495,0.3706,1,1,0.08683,0.000315655,0.000315655,0.000315655
4,39.3791,0.16527,1,1,0.01066,0.000416676,0.000416676,0.000416676
5,53.2172,0.08651,1,1,0.00204,0.000513171,0.000513171,0.000513171
6,61.751,0.07722,1,1,0.00025,0.000605139,0.000605139,0.000605139
7,70.2157,0.03179,1,1,0.00011,0.000692579,0.000692579,0.000692579
8,78.8041,0.01313,1,1,7e-05,0.000775493,0.000775493,0.000775493
9,87.4978,0.02394,1,1,3e-05,0.000853879,0.000853879,0.000853879
10,95.9979,0.01112,1,1,2e-05,0.000927738,0.000927738,0.000927738
11,104.741,0.01437,1,1,1e-05,0.00099707,0.00099707,0.00099707
12,112.659,0.021,1,1,3e-05,0.00106188,0.00106188,0.00106188
13,120.967,0.04715,1,1,3e-05,0.00108947,0.00108947,0.00108947
14,129.262,0.00276,1,1,0.0001,0.00106118,0.00106118,0.00106118
15,137.64,0.00706,1,1,5e-05,0.00103288,0.00103288,0.00103288
16,146.426,0.01889,1,1,2e-05,0.00100459,0.00100459,0.00100459
17,154.978,0.00838,1,1,1e-05,0.000976293,0.000976293,0.000976293
18,163.304,0.00771,1,1,3e-05,0.000947999,0.000947999,0.000947999
19,171.512,0.04533,1,1,7e-05,0.000919704,0.000919704,0.000919704
20,180.115,0.00297,1,1,4e-05,0.00089141,0.00089141,0.00089141
21,188.802,0.00308,1,1,4e-05,0.000863116,0.000863116,0.000863116
22,197.101,0.00232,1,1,6e-05,0.000834822,0.000834822,0.000834822
23,205.57,0.00426,1,1,0.00018,0.000806528,0.000806528,0.000806528
24,213.962,0.00288,1,1,8e-05,0.000778233,0.000778233,0.000778233
25,222.82,0.04132,1,1,4e-05,0.000749939,0.000749939,0.000749939
26,231.673,0.02667,1,1,1e-05,0.000721645,0.000721645,0.000721645
27,240.372,0.01821,1,1,2e-05,0.000693351,0.000693351,0.000693351
28,249.118,0.00196,1,1,5e-05,0.000665057,0.000665057,0.000665057
29,257.892,0.00115,1,1,1e-05,0.000636762,0.000636762,0.000636762
30,266.353,0.01877,1,1,1e-05,0.000608468,0.000608468,0.000608468
31,274.895,0.01233,1,1,0,0.000580174,0.000580174,0.000580174
32,283.392,0.00405,1,1,1e-05,0.00055188,0.00055188,0.00055188
33,292.274,0.00382,1,1,3e-05,0.000523586,0.000523586,0.000523586
34,300.967,0.00107,1,1,1e-05,0.000495291,0.000495291,0.000495291
35,309.509,0.00046,1,1,3e-05,0.000466997,0.000466997,0.000466997
36,318.041,0.00173,1,1,1e-05,0.000438703,0.000438703,0.000438703
37,326.674,0.00781,1,1,1e-05,0.000410409,0.000410409,0.000410409
38,335.761,0.01728,1,1,3e-05,0.000382115,0.000382115,0.000382115
39,344.382,0.00235,1,1,1e-05,0.00035382,0.00035382,0.00035382
40,353.084,0.02062,1,1,1e-05,0.000325526,0.000325526,0.000325526
41,361.632,0.00402,1,1,2e-05,0.000297232,0.000297232,0.000297232
42,369.994,0.00609,1,1,1e-05,0.000268938,0.000268938,0.000268938
43,378.45,0.00322,1,1,1e-05,0.000240644,0.000240644,0.000240644
44,387.307,0.00212,1,1,4e-05,0.000212349,0.000212349,0.000212349
45,395.879,0.00082,1,1,1e-05,0.000184055,0.000184055,0.000184055
46,404.129,0.02091,1,1,1e-05,0.000155761,0.000155761,0.000155761
47,411.642,0.00226,1,1,1e-05,0.000127467,0.000127467,0.000127467
48,419.152,0.00183,1,1,1e-05,9.91726e-05,9.91726e-05,9.91726e-05
49,427.183,0.00052,1,1,3e-05,7.08784e-05,7.08784e-05,7.08784e-05
50,434.639,0.00264,1,1,3e-05,4.25842e-05,4.25842e-05,4.25842e-05
