epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.284,0.81894,2.08794,1.38188,0.00333,1,0.98785,0.69426,0.5821,2.75636,1.21473,0.00024,0.00024,0.00024
2,148.305,0.70418,1.041,1.23914,0.88507,0.86367,0.92988,0.71246,0.75572,2.24775,1.36377,0.0004901,0.0004901,0.0004901
3,212.536,0.72626,0.97822,1.26189,0.9097,0.94149,0.96559,0.7078,0.73427,1.98444,1.42745,0.000729904,0.000729904,0.000729904
4,278.938,0.69368,0.92902,1.21951,0.99062,0.98668,0.99463,0.73355,0.83692,1.7878,1.59631,0.000959412,0.000959412,0.000959412
5,343.783,0.73998,0.89322,1.23538,0.97421,0.96262,0.98401,0.79574,0.73893,1.49783,1.53322,0.00117862,0.00117862,0.00117862
6,407.61,0.74234,0.82783,1.24838,0.8561,0.98131,0.92815,0.63002,0.99668,1.69046,1.60724,0.00138754,0.00138754,0.00138754
7,470.864,0.7258,0.79668,1.21565,0.89614,0.84112,0.95336,0.64011,1.00292,1.54106,1.71834,0.00158616,0.00158616,0.00158616
8,534.094,0.72211,0.75449,1.21765,0.86174,0.93458,0.91738,0.64828,1.00964,1.37456,1.93469,0.0017228,0.0017228,0.0017228
9,597.345,0.71484,0.70289,1.20843,0.85718,0.90654,0.94592,0.67033,0.96182,1.4447,1.70498,0.0016832,0.0016832,0.0016832
10,660.055,0.71093,0.71833,1.21572,0.98188,0.99065,0.99472,0.83055,0.655,0.84851,1.33194,0.0016436,0.0016436,0.0016436
11,721.698,0.67089,0.71951,1.18688,0.9765,0.99065,0.99491,0.70627,0.89891,1.00217,1.77039,0.001604,0.001604,0.001604
12,784.785,0.66118,0.62123,1.18467,0.99529,1,0.995,0.8503,0.6141,0.90808,1.28781,0.0015644,0.0015644,0.0015644
13,847.538,0.65984,0.61898,1.19074,0.99834,1,0.995,0.8403,0.6344,0.78492,1.25625,0.0015248,0.0015248,0.0015248
14,913.668,0.66312,0.59024,1.16662,0.9791,1,0.99179,0.85382,0.59513,0.77339,1.18165,0.0014852,0.0014852,0.0014852
15,979.609,0.66474,0.60521,1.15663,0.97601,1,0.99041,0.84392,0.60449,0.7018,1.17305,0.0014456,0.0014456,0.0014456
16,1044.89,0.63013,0.57138,1.15628,0.9816,0.99698,0.99491,0.85205,0.56471,0.6705,1.13401,0.001406,0.001406,0.001406
17,1110.56,0.62875,0.55674,1.16125,0.95265,1,0.99416,0.83109,0.65554,0.69578,1.21744,0.0013664,0.0013664,0.0013664
18,1176.88,0.67701,0.55915,1.18352,1,0.99858,0.995,0.82447,0.67768,0.71526,1.24016,0.0013268,0.0013268,0.0013268
19,1241.58,0.61999,0.52976,1.15448,0.99011,0.98131,0.99472,0.84131,0.64094,0.61646,1.22142,0.0012872,0.0012872,0.0012872
20,1306.34,0.60641,0.54002,1.14466,0.98908,1,0.99398,0.83758,0.60008,0.55755,1.18339,0.0012476,0.0012476,0.0012476
21,1371.76,0.60078,0.49133,1.13549,0.98983,1,0.995,0.86211,0.56066,0.50781,1.15211,0.001208,0.001208,0.001208
22,1437.06,0.59201,0.47769,1.10697,0.9902,1,0.995,0.83393,0.63264,0.51605,1.23933,0.0011684,0.0011684,0.0011684
23,1504.46,0.61019,0.49406,1.15115,1,0.99666,0.995,0.8497,0.57041,0.51109,1.17141,0.0011288,0.0011288,0.0011288
24,1569.47,0.56839,0.44896,1.12956,1,0.99923,0.995,0.86643,0.54245,0.49316,1.1403,0.0010892,0.0010892,0.0010892
25,1634.4,0.58216,0.43011,1.10164,0.99849,1,0.995,0.8531,0.57231,0.50394,1.16598,0.0010496,0.0010496,0.0010496
